"Time"	fur	rcnR	metJ	metR	metA	metH
300	0.8665689	0.6002004	0.3866475	0.4073813	0.5185094	0.0357730
350	0.8728090	0.6317293	0.3645573	0.4250033	0.5175746	0.0144059
400	0.7017507	0.7078928	0.3542814	0.5487912	0.5072507	0.0100249
450	0.7101076	0.4726161	0.3677769	0.4376638	0.5445730	0.0101751
500	0.7244544	0.4437904	0.5031662	0.3953678	0.5910142	0.0121408
550	0.6778492	0.4621169	0.4693665	0.4896025	0.4995370	0.0278123
600	0.8444063	0.5370072	0.3060813	0.6109588	0.6060228	0.0089939
650	0.7804499	0.5906613	0.3464564	0.5767458	0.6785285	0.0157898
700	0.7937170	0.5111119	0.4451206	0.5431310	0.5186800	0.0164646
750	0.7973600	0.5572848	0.3497999	0.7279866	0.6323533	0.0096274
800	0.8305005	0.4906382	0.2924205	0.6390043	0.6297138	0.0174227
850	0.7650924	0.6397726	0.3081882	0.6467814	0.5568622	0.0078245
900	0.7438680	0.6938045	0.3538005	0.7009191	0.5885221	0.0104819
950	0.8328606	0.5090591	0.3769502	0.6479116	0.6116629	0.0045099
1000	0.8474126	0.6159943	0.3806322	0.5946631	0.5942631	0.0282786
