ENSP	VNG-ORF
Q9HRU3	VNG0542C
Q9HRU2	VNG0543H
Q9HRU1	VNG0544H
Q9HRU0	VNG0546C
Q9HRT9	VNG0548C
IF2A_HALN1	VNG0549G
RS27_HALN1	VNG0550G
Q9HRT6	VNG0551G
Q9HRT5	VNG0553C
Q9HRT4	VNG0555C
Q9HRT3	VNG0556G
Q9HRT2	VNG0557H
APT_HALN1	VNG0559G
Q9HRT0	VNG0560C
Q9HRS9	VNG0562C
Q9HRS8	VNG0563G
Q9HRS6	VNG0564H
Q9HRS7	VNG0565C
Q9HRS5	VNG0566C
Q9HRS3	VNG0568C
Q9HRS4	VNG0570H
Q9HRS2	VNG0571C
Q9HRS1	VNG0572G
Q9HRS0	VNG0573C
Q9HRR9	VNG0574C
Q9HRR8	VNG0575G
Q9HRR7	VNG0576C
Q9HRR6	VNG0578H
Q9HRR5	VNG0579H
Q9HRR4	VNG0581H
Q9HRR3	VNG0582C
Q9HRR2	VNG0583G
Q9HRR1	VNG0584H
Q9HRR0	VNG0585H
Q9HRQ9	VNG0586C
Q9HRQ8	VNG0587H
Q9HRQ7	VNG0590H
Q9HRQ6	VNG0591C
Q9HRQ5	VNG0592G
Q9HRQ4	VNG0593G
Q9HRQ3	VNG0594H
Q9HRQ2	VNG0595H
Q9HRQ1	VNG0596H
Q9HRQ0	VNG0597H
Q9HRP9	VNG0598C
Q9HRP7	VNG0599C
Q9HRP8	VNG0600C
Q9HRP6	VNG0601H
Q9HRP5	VNG0602C
Q9HRP4	VNG0604H
Q9HRP3	VNG0606G
Q9HRP2	VNG0608C
Q9HRP1	VNG0609C
Q9HRP0	VNG0610G
Q9HRN9	VNG0611H
Q9HRN8	VNG0612H
Q9HRN7	VNG0613H
Q9HRN6	VNG0614G
Q9HRN5	VNG0615C
Q9HRN4	VNG0617H
Q9HRN3	VNG0620G
Q9HRN2	VNG0622H
Q9HRN1	VNG0623G
Q9HRN0	VNG0624H
Q9HRM9	VNG0626G
Q9HRM8	VNG0627G
Q9HRM7	VNG0628G
Q9HRM6	VNG0629G
RISB_HALN1	VNG0630G
Q9HRM4	VNG0631C
Q9HRM3	VNG0632G
Q9HRM2	VNG0633G
Q9HRM1	VNG0635G
Q9HRM0	VNG0636G
Q9HRL9	VNG0637G
Q9HRL8	VNG0639G
Q9HRL7	VNG0640G
Q9HRL6	VNG0641C
Q9HRL5	VNG0642C
Q9HRL4	VNG0643G
Q9HRL3	VNG0646G
Q9HRL2	VNG0647G
Q9HRL1	VNG0648G
Q9HRL0	VNG0650C
Q9HRK9	VNG0651G
Q9HRK8	VNG0652H
Q9HRK7	VNG0653G
Q9HRK6	VNG0654C
Q9HRK5	VNG0656H
COX1_HALN1	VNG0657G
Q9HRK3	VNG0659H
Q9HRK2	VNG0660H
Q9HRK1	VNG0662G
Q9HRK0	VNG0664G
Q9HRJ9	VNG0665G
